"Total Number Throughout Year","Date","Rating Out of 10","Day of Week","Month","Day","Duration","Number in Day"
1,2023-01-01,3.1,"Sunday",1,1,00:06:00,3
2,2023-01-01,4,"Sunday",1,1,00:02:52,3
3,2023-01-01,2.6,"Sunday",1,1,00:07:11,3
4,2023-01-02,6.1,"Monday",1,2,00:05:00,1
5,2023-01-03,4,"Tuesday",1,3,00:13:07,2
6,2023-01-03,5.8,"Tuesday",1,3,00:10:37,2
7,2023-01-04,4.9,"Wednesday",1,4,00:07:00,2
8,2023-01-04,1.8,"Wednesday",1,4,00:06:13,2
9,2023-01-05,5.6,"Thursday",1,5,00:03:41,2
10,2023-01-05,6.2,"Thursday",1,5,00:05:30,2
11,2023-01-06,3.3,"Friday",1,6,00:05:06,1
12,2023-01-07,2.2,"Saturday",1,7,00:03:30,1
13,2023-01-08,5.3,"Sunday",1,8,00:07:18,1
14,2023-01-09,4.9,"Monday",1,9,00:03:00,1
15,2023-01-10,7.7,"Tuesday",1,10,00:07:06,1
16,2023-01-11,7.2,"Wednesday",1,11,00:05:30,2
17,2023-01-11,6.9,"Wednesday",1,11,00:04:00,2
18,2023-01-12,8.3,"Thursday",1,12,00:05:21,1
19,2023-01-13,8.6,"Friday",1,13,00:07:34,1
20,2023-01-14,6.8,"Saturday",1,14,00:04:00,1
21,2023-01-15,2.2,"Sunday",1,15,00:12:00,2
22,2023-01-15,3.1,"Sunday",1,15,00:03:18,2
23,2023-01-16,5.4,"Monday",1,16,00:03:30,2
24,2023-01-16,3.7,"Monday",1,16,00:04:00,2
25,2023-01-17,8.6,"Tuesday",1,17,00:02:45,1
26,2023-01-18,8.9,"Wednesday",1,18,00:05:55,2
27,2023-01-18,6.8,"Wednesday",1,18,00:06:03,2
28,2023-01-19,7.7,"Thursday",1,19,00:04:19,1
29,2023-01-20,7.4,"Friday",1,20,00:05:39,1
30,2023-01-21,7.6,"Saturday",1,21,00:07:24,1
31,2023-01-22,9.7,"Sunday",1,22,00:06:52,2
32,2023-01-22,5.2,"Sunday",1,22,00:12:19,2
33,2023-01-23,6.5,"Monday",1,23,00:05:00,3
34,2023-01-23,4.9,"Monday",1,23,00:05:15,3
35,2023-01-23,6.8,"Monday",1,23,00:06:53,3
35,2023-01-24,NA,"Tuesday",1,24,NA,0
36,2023-01-25,7.4,"Wednesday",1,25,00:03:00,2
37,2023-01-25,5.8,"Wednesday",1,25,00:06:42,2
38,2023-01-26,7.5,"Thursday",1,26,00:10:00,1
39,2023-01-27,6.8,"Friday",1,27,00:09:49,3
40,2023-01-27,6.6,"Friday",1,27,00:05:34,3
41,2023-01-27,8.6,"Friday",1,27,00:00:46,3
42,2023-01-28,5.5,"Saturday",1,28,00:09:00,1
43,2023-01-29,3.5,"Sunday",1,29,00:15:41,2
44,2023-01-29,6.4,"Sunday",1,29,00:02:21,2
45,2023-01-30,6.3,"Monday",1,30,00:03:06,1
46,2023-01-31,7.7,"Tuesday",1,31,00:11:56,2
47,2023-01-31,8.2,"Tuesday",1,31,00:10:15,2
48,2023-02-01,5.4,"Wednesday",2,1,00:09:00,2
49,2023-02-01,7.4,"Wednesday",2,1,00:05:42,2
50,2023-02-02,6.8,"Thursday",2,2,00:05:20,1
51,2023-02-03,7.5,"Friday",2,3,00:02:13,1
52,2023-02-04,5.3,"Saturday",2,4,00:19:08,2
53,2023-02-04,8.1,"Saturday",2,4,00:05:30,2
54,2023-02-05,5,"Sunday",2,5,00:05:02,1
55,2023-02-06,5.8,"Monday",2,6,00:08:00,1
56,2023-02-07,8.8,"Tuesday",2,7,00:03:14,4
57,2023-02-07,6.2,"Tuesday",2,7,00:05:51,4
58,2023-02-07,2.8,"Tuesday",2,7,00:06:19,4
59,2023-02-07,4.4,"Tuesday",2,7,00:10:17,4
60,2023-02-08,7.5,"Wednesday",2,8,00:11:19,1
61,2023-02-09,2,"Thursday",2,9,00:03:09,2
62,2023-02-09,3.6,"Thursday",2,9,00:02:40,2
63,2023-02-10,3.1,"Friday",2,10,00:03:11,1
64,2023-02-11,9.1,"Saturday",2,11,00:07:14,1
65,2023-02-12,3.9,"Sunday",2,12,00:08:30,2
66,2023-02-12,8.8,"Sunday",2,12,00:16:37,2
67,2023-02-13,4.5,"Monday",2,13,00:08:00,2
68,2023-02-13,5.3,"Monday",2,13,00:06:30,2
69,2023-02-14,5.6,"Tuesday",2,14,00:13:36,1
70,2023-02-15,8.9,"Wednesday",2,15,00:07:10,2
71,2023-02-15,7.3,"Wednesday",2,15,00:12:00,2
72,2023-02-16,7.8,"Thursday",2,16,00:11:07,1
73,2023-02-17,3.9,"Friday",2,17,00:07:00,2
74,2023-02-17,2.2,"Friday",2,17,00:06:30,2
75,2023-02-18,6.2,"Saturday",2,18,00:07:45,1
76,2023-02-19,1.8,"Sunday",2,19,00:13:37,2
77,2023-02-19,9.3,"Sunday",2,19,00:03:49,2
78,2023-02-20,3.3,"Monday",2,20,00:16:31,1
79,2023-02-21,5,"Tuesday",2,21,00:04:06,1
80,2023-02-22,2.7,"Wednesday",2,22,00:09:43,1
81,2023-02-23,7.9,"Thursday",2,23,00:08:55,1
